Family,Genus,Species,CommonName,GrowthRate,HardinessZones,Height,Width,Type,Foliage,Pollinators,Leaf,Flower,Ripen,Reproduction,Soils,pH,pH_split,Preferences,Tolerances,Habitat,HabitatRange,Edibility,Medicinal,OtherUses,PFAF
Rosaceae,Sorbus,domestica,Service Tree,medium,"[6, 7, 8, 9, 10]",15.0,,Deciduous Tree,Deciduous,['Insects'],,May,September to October,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,Woods and bushy places.,Europe.,5,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Sorbus+domestica
Lamiaceae or Labiatae,Stachys,affinis,"Chinese Artichoke, Artichoke betony",,"[4, 5, 6, 7, 8]",0.5,,Perennial,,['Insects'],May to November,July to August.,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Wet and submersed areas; 0-3200 m. Gansu, Hebei, Nei Mongol, Ningxia, Qinghai, Shaanxi, Shandong, Shanxi, Xinjiang","E. Asia - China, Japan.",4,1,0,https://pfaf.org/user/Plant.aspx?LatinName=Stachys+affinis
Lamiaceae or Labiatae,Stachys,hyssopifolia,hyssopleaf hedgenettle,,"[4, 5, 6, 7, 8]",0.6,,Perennial,,['Insects'],,,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Sandy, gravelly or peaty shores and bogs.","Eastern N. America - Massachusetts to Georgia, Florida, Indiana, Michigan and Virginia.",2,0,0,https://pfaf.org/user/Plant.aspx?LatinName=Stachys+hyssopifolia
Lamiaceae or Labiatae,Stachys,palustris,"Marsh Woundwort, Marsh hedgenettle",,"[4, 5, 6, 7, 8]",1.0,0.4,Perennial,,['Bees'],,July to September,August to October,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"By streams and ditches, also in swamps and fens. Occasionally found on arable land.","Europe, including Britain, south and east from Norway to Portugal and temperate Asia to Japan.",3,2,1,https://pfaf.org/user/Plant.aspx?LatinName=Stachys+palustris
Caryophyllaceae,Stellaria,media,"Chickweed, Common chickweed",fast,"[4, 5, 6, 7, 8, 9, 10, 11]",0.1,0.5,Annual,,"['Bees', 'Flies']",,,,Hermaphrodite,"['light', 'medium', 'heavy', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Growing almost anywhere, it is a common garden weed[7, 17].","A cosmopolitan plant, found in most regions of the world, including Britain.",3,3,2,https://pfaf.org/user/Plant.aspx?LatinName=Stellaria+media
Caryophyllaceae,Stellaria,pubera,Star chickweed,fast,"[5, 6, 7, 8]",0.2,0.2,Perennial,,"['Bees', 'Insects']",,,,,"['medium', 'heavy']",Mildly acid and neutral,"['Mildly acid', 'neutral']",Well-drained soil. suitable ph: mildly acid,,"High quality woodlands, especially where sandstone is close to the ground surface. Edges of rocky meadows, rocky wooded slopes, wooded bluffs, and the upper slopes of sandstone ravines or rich mesic woodlands.","Native to the eastern United States. Native distribution is from Illinois east to New York, south to Florida, west to Louisiana, and northeast to Kentucky; also in Nebraska and Minnesota. ",3,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Stellaria+pubera
Convallariaceae,Streptopus,amplexifolius,"Wild Cucumber, Claspleaf twistedstalk, Tubercle twistedstalk",,"[4, 5, 6, 7, 8]",1.0,0.3,Perennial,,,,May to July,September to October,Hermaphrodite,"['light', 'medium']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Wet sub-alpine woods[50, 187]. Moist woods and thickets[43, 50]. Rich moist coniferous and deciduous woods at elevations of 0 - 2800 metres in America.","Europe to E. Asia and N. America - Alaska to North Carolina, Ohio, Michigan and New Mexico.",4,2,1,https://pfaf.org/user/Plant.aspx?LatinName=Streptopus+amplexifolius
Convallariaceae,Streptopus,roseus,"Scootberry, Rosybells",,"[3, 4, 5, 6, 7]",0.5,0.3,Perennial,,,,May to July,September to October,Hermaphrodite,"['light', 'medium']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Moist woods, river banks, alder thickets. Damp montane woods, 9000 - 1800 metres.","Eastern N. America - Newfoundland to Manitoba, south to Georgia and Michigan.",4,2,0,https://pfaf.org/user/Plant.aspx?LatinName=Streptopus+roseus
Leguminosae,Strophostyles,umbellata,"Pink fuzzybean, Perennial wild bean",fast,"[6, 7, 8, 9]",1.0,1.0,Perennial Climber,Perennial,,,,,,"['light', 'medium']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Sandy soils of fields, forest edges, meadows and woodlands and clearings, mainly near the coast.",Native to fields and woods in the southeastern and central United States.,0,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Strophostyles+umbellata
Leguminosae,Stylosanthes,biflora,Sidebeak pencilflower,fast,"[4, 5, 6, 7, 8]",0.5,0.5,Perennial,,['Bees'],,,,,"['light', 'medium', 'heavy']",Mildly acid and neutral,"['Mildly acid', 'neutral']",Well-drained soil,Drought,"Rocky open woods, glades, prairies, usually on acid substrates.",Native to the Southeastern United States,0,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Stylosanthes+biflora
Boraginaceae,Symphytum,grandiflorum,"Ground Cover Comfrey, Comfrey",fast,"[3, 4, 5, 6, 7, 8, 9]",0.4,0.6,Perennial,,['Bees'],,April to May,June to July,Hermaphrodite,"['light', 'medium', 'heavy', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,Not infrequently naturalized in hedges and woods in S. England and the Midlands.,Europe - the Caucasus. Naturalized in Britain.,0,0,4,https://pfaf.org/user/Plant.aspx?LatinName=Symphytum+grandiflorum
Boraginaceae,Symphytum,officinale,"Comfrey, Common comfrey",fast,"[3, 4, 5, 6, 7, 8, 9, 10]",1.2,0.6,Perennial,,['Bees'],,May to June,June to July,Hermaphrodite,"['light', 'medium', 'heavy', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Damp, often shady localities, in meadows, woods etc, especially near streams and rivers[9, 17, 244].","Europe, including Britain, south and east from Scandanavia to Spain, Siberia and Turkey.",3,5,4,https://pfaf.org/user/Plant.aspx?LatinName=Symphytum+officinale
Apiaceae,Taenidia,integerrima,Yellow pimpernel,fast,"[4, 5, 6]",0.6,0.4,Perennial,,,,,,,"['light', 'medium']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",Well-drained soil,Drought,"Dry upland prairies, edges of hill prairies, upland savannas, rocky upland forests, bluffs, areas along woodland paths, eroded clay banks in semi-shaded areas, and thickets. This plant typically occurs at the edge of dry wooded areas, especially where slopes occur.",Central and eastern North America,0,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Taenidia+integerrima
Asteraceae or Compositae,Taraxacum,officinale,"Dandelion - Kukraundha, Kanphool, Common dandelion, Dandelion",fast,"[5, 6, 7, 8, 9]",0.5,0.3,Perennial,,"['Insects', 'Apomictic (reproduce by seeds formed without sexual fusion)']",,April to May,May to June,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic soils and can grow in very alkaline","['Mildly acid', ' neutral', 'basic', 'very alkaline']","Well-drained soil. suitable ph: mildly acid, neutral",Maritime exposure,A very common weed of grassland and cultivated ground.,"Throughout most of the northern hemisphere, including Britain.",4,3,3,https://pfaf.org/user/Plant.aspx?LatinName=Taraxacum+officinale
Apiaceae,Thaspium,barbinode,"Meadowparsnip, Meadow-parsnip",medium,"[4, 5, 6, 7, 8, 9]",1.2,0.5,Perennial,,,,,,,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Mesic black soil prairies, openings in forests and woodland borders, sandy savannas, rocky bluffs, and banks of rivers and lakes. This plant occurs in prairies to a greater extent than has been realized in the past[1-6].",Native to US,0,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Thaspium+barbinode
Apiaceae,Thaspium,trifoliatum,"Woodland parsnip, Thaspium",fast,"[4, 5, 6, 7, 8, 9]",1.2,1.2,Perennial,,,,,,,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Rocky upland woodlands, rocky bluffs, upland oak savannas, woodland borders and openings, prairies, streambanks, and roadsides.",Native to eastern North America from Minnesota to New York south to Texas and Florida with concentrations found in the Mississippi River valley.,0,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Thaspium+trifoliatum
Thelypteridaceae,Thelypteris,noveboracensis,New York fern,medium,"[2, 3, 4, 5, 6, 7, 8]",0.5,0.5,Fern,,['Wind'],,,,,"['light', 'medium']",Mildly acid and neutral soils and can grow in very acid,"['Mildly acid', 'neutral', 'very acid']",,,"Moist woodlands, moist sandy woodlands, upland rocky woodlands, shaded sandstone cliffs, low areas along streams in wooded areas, shaded seeps and springs along hillsides and ravines, and swamps.","Eastern United States and Canada, from Louisiana to Newfoundland, but most concentrated within Appalachia and the Atlantic Northeast.",0,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Thelypteris+noveboracensis
Leguminosae,Thermopsis,villosa,"Aaron's rod, Carolina lupine",slow,"[5, 6, 7, 8]",1.5,0.7,Perennial,,,,,,,"['light', 'medium', 'heavy']",Mildly acid and neutral soils and can grow in very acid,"['Mildly acid', 'neutral', 'very acid']",Well-drained soil. suitable ph: mildly acid,,"Woodland clearings, open meadows, prairies, road banks and disturbed fields.","Native only to forest openings in the Appalachians, but it is adaptable to rich garden soils throughout the eastern United States.",0,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Thermopsis+villosa
Lamiaceae or Labiatae,Thymus,vulgaris,"Common Thyme, Garden thyme, Wild Thyme",medium,"[5, 6, 7, 8, 9, 10, 11]",0.2,0.3,Evergreen Shrub,Evergreen,"['Bees', 'Flies', 'Lepidoptera (moths & butterflies)']",,June to August.,,Hermaphrodite,"['light', 'medium']",Neutral and basic,"['Neutral', 'basic']",Well-drained soil,,"Dry slopes, rocks and maquis. Always found on clay or limestone soils.",S. Europe.,4,3,5,https://pfaf.org/user/Plant.aspx?LatinName=Thymus+vulgaris
Saxifragaceae,Tiarella,cordifolia,"Foamflower, Heartleaf foamflower, Clumping Foamflower",fast,"[3, 4, 5, 6, 7, 8, 9]",0.2,0.5,Evergreen Perennial,Evergreen,['Insects'],,April to June.,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Rich moist woodlands in the mountains[43, 187].","Eastern N. America - Nova Scotia to Ontario and Minnesota, south to Michigan, Georgia and Virginia.",0,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Tiarella+cordifolia
Tiliaceae,Tilia,americana,"American Basswood, Carolina basswood, Basswood,  AmericanBasswood, American Linden",medium,"[3, 4, 5, 6, 7, 8, 9]",25.0,12.0,Deciduous Tree,Deciduous,['Bees'],,July,October,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Rich, often moist, soils of woods and bottomlands, often forming pure stands[82, 227].","Central and Eastern N. America - New Brunswick to Florida, west to Texas and Manitoba.",3,3,3,https://pfaf.org/user/Plant.aspx?LatinName=Tilia+americana
Meliaceae,Toona,sinensis,Chinese Cedar,fast,"[6, 7, 8, 9, 10, 11]",20.0,8.0,Deciduous Tree,Deciduous,['Insects'],,July.,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic soils and can grow in very alkaline","['Mildly acid', ' neutral', 'basic', 'very alkaline']","Well-drained soil. suitable ph: mildly acid, neutral",,Woodland.,"E. Asia - China, northern India, Bhutan, Myanmar, Thailand, Laos, Malaysia, Indonesia.",3,2,4,https://pfaf.org/user/Plant.aspx?LatinName=Toona+sinensis
Commelinaceae,Tradescantia,virginiana,"Spiderwort, Virginia spiderwort",medium,"[4, 5, 6, 7, 8, 9]",0.4,,Perennial,,,,June to October,August to October,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Woods, scrub, meadows and roadsides[43, 187].","Eastern N. America - Connecticut to Wisconsin, south to Georgia and Tennessee.",2,1,0,https://pfaf.org/user/Plant.aspx?LatinName=Tradescantia+virginiana
Fabaceae or Leguminosae,Trifolium,pratense,Red Clover,medium,"[5, 6, 7, 8, 9]",0.6,0.6,Perennial,,"['Bees', 'Lepidoptera (moths & butterflies)']",,May to September,July to October,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",Well-drained soil,,"Meadows, pastures and other grassy places, especially on calcareous soils. Usually found on circumneutral soils.","Europe, including Britain, from Norway south and east to Spain and W. Asia.",3,3,4,https://pfaf.org/user/Plant.aspx?LatinName=Trifolium+pratense
Fabaceae or Leguminosae,Trifolium,repens,"White Clover, Dutch Clover, Purple Dutch Clover, Shamrock,  White Clover",medium,"[4, 5, 6, 7, 8]",0.1,1.0,Evergreen Perennial,Evergreen,['Bees'],,June to September,July to October,Hermaphrodite,"['light', 'medium', 'heavy', 'heavy']","Mildly acid, neutral and basic soils and can grow in very alkaline","['Mildly acid', ' neutral', 'basic', 'very alkaline']",Well-drained soil,,"Grassland and lawns, preferring a calcareous clay soil[9, 17].","Europe, including Britain, from Norwat south and east to N. Africa, north and western Asia.",3,2,4,https://pfaf.org/user/Plant.aspx?LatinName=Trifolium+repens
Trilliaceae,Trillium,grandiflorum,"White Trillium, Large Flower Trillium, White Trillium, Large Flower Wakerobin,  Large Flowered  Tril",slow,"[4, 5, 6, 7, 8, 9]",0.4,0.3,Perennial,,['Flies'],,April to June.,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Rich woods and thickets, usually on limestone. Rich deciduous or mixed coniferous-deciduous upland woods, floodplains, roadsides at elevations of 20 - 700 metres.","Eastern N. America - Maine to Ontario, south to Georgia and Arkansas.",1,2,0,https://pfaf.org/user/Plant.aspx?LatinName=Trillium+grandiflorum
Poaceae or Gramineae,Tripsacum,dactyloides,"Sesame Grass, Eastern gamagrass, Fakahatchee Grass",medium,"[7, 8, 9, 10, 11]",2.5,1.0,Perennial,,['Wind'],,August to September.,,Monoecious,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Swales, moist fields, woodland edges and shores. Water courses and limestone outcrops.","Eastern N. America - Massachusetts to Michigan and Nebraska, south to Florida, Oklahoma and Texas.",2,0,0,https://pfaf.org/user/Plant.aspx?LatinName=Tripsacum+dactyloides
Ulmaceae,Ulmus,rubra,Slippery Elm,medium,"[3, 4, 5, 6, 7]",20.0,15.0,Deciduous Tree,Deciduous,['Wind'],,March to May,May to June,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Rich deep soils, often calcareous, on the banks of streams and low rocky hillsides[43, 82].","Central and Southern N. America - Maine to Florida, west to Texas and North Dakota.",2,5,3,https://pfaf.org/user/Plant.aspx?LatinName=Ulmus+rubra
Urticaceae,Urtica,dioica,"Stinging Nettle, California nettle",fast,"[3, 4, 5, 6, 7, 8, 9, 10]",1.2,1.0,Perennial,,['Wind'],March to November,May to October,June to October,Dioecious,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Waste ground, hedgerows, woods etc, preferring a rich soil and avoiding acid soils[4, 9].","Temperate regions throughout the world, including Britain. The plant has become naturalized at higher elevations in the Tropics.",5,5,4,https://pfaf.org/user/Plant.aspx?LatinName=Urtica+dioica
Uvulariaceae,Uvularia,sessilifolia,"Bellwort, Sessileleaf bellwort",fast,"[4, 5, 6, 7, 8]",0.3,0.3,Perennial,,['Insects'],,May to June.,,Hermaphrodite,"['light', 'medium']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Moist hardwood coves, alluvial bottomlands, thickets and xeric woods northwards from sea level to 1000 metres[43, 187, 270].","Eastern and southeastern N. America - New Brunswick to Ontario, south to Georgia and Arkansas.",2,1,0,https://pfaf.org/user/Plant.aspx?LatinName=Uvularia+sessilifolia
Ericaceae,Vaccinium,angustifolium,"Low Sweet Blueberry, Lowbush blueberry",,"[2, 3, 4, 5, 6]",0.2,,Deciduous Shrub,Deciduous,['Insects'],,May to June,July,Hermaphrodite,"['light', 'medium']",Mildly acid soils and can grow in very acid,"['Mildly acid', 'very acid']",Well-drained soil. suitable ph: mildly acid soils,,"Dry open barrens, peats and rocks.","North-eastern N. America - Newfoundland to Maryland, west to Iowa and Minnesota.",3,1,0,https://pfaf.org/user/Plant.aspx?LatinName=Vaccinium+angustifolium
Ericaceae,Vaccinium,ashei,Rabbiteye Blueberry,,"[7, 8, 9, 10]",5.0,,Deciduous Shrub,Deciduous,['Insects'],,,,Hermaphrodite,"['light', 'medium']",Mildly acid soils and can grow in very acid,"['Mildly acid', 'very acid']",Well-drained soil. suitable ph: mildly acid soils,Drought,"Swamps and barren pine land[3, 72].",South-eastern N. America.,2,0,0,https://pfaf.org/user/Plant.aspx?LatinName=Vaccinium+ashei
Ericaceae,Vaccinium,corymbosum,"High-Bush Blueberry, American Blueberry, Swamp Blueberry, Blueberry",medium,"[3, 4, 5, 6, 7, 8]",2.0,2.0,Deciduous Shrub,Deciduous,['Bees'],,May to June,August,Hermaphrodite,"['light', 'medium']",Mildly acid soils and can grow in very acid,"['Mildly acid', 'very acid']",Well-drained soil. suitable ph: mildly acid soils,,"Swamps, low wet woods, pine barrens and dry uplands.",Eastern N. America - Nova Scotia to Quebec and south to Florida..,4,1,0,https://pfaf.org/user/Plant.aspx?LatinName=Vaccinium+corymbosum
